"","island","species","body_mass_g","p_value"
"1","Biscoe","Adelie",3800,1.67127317615934e-98
"2","Biscoe","Adelie",3950,1.67127317615934e-98
"3","Biscoe","Adelie",3400,1.67127317615934e-98
"4","Biscoe","Adelie",3600,1.67127317615934e-98
"5","Biscoe","Adelie",3550,1.67127317615934e-98
"6","Biscoe","Adelie",3200,1.67127317615934e-98
"7","Biscoe","Adelie",2850,1.67127317615934e-98
"8","Biscoe","Adelie",3750,1.67127317615934e-98
"9","Biscoe","Adelie",3150,1.67127317615934e-98
"10","Biscoe","Adelie",4400,1.67127317615934e-98
"11","Biscoe","Adelie",3600,1.67127317615934e-98
"12","Biscoe","Adelie",3800,1.67127317615934e-98
"13","Biscoe","Adelie",3800,1.67127317615934e-98
"14","Biscoe","Adelie",3450,1.67127317615934e-98
"15","Biscoe","Adelie",4050,1.67127317615934e-98
"16","Biscoe","Adelie",2900,1.67127317615934e-98
"17","Biscoe","Adelie",3700,1.67127317615934e-98
"18","Biscoe","Adelie",3550,1.67127317615934e-98
"19","Biscoe","Adelie",3800,1.67127317615934e-98
"20","Biscoe","Adelie",4600,1.67127317615934e-98
"21","Biscoe","Adelie",3200,1.67127317615934e-98
"22","Biscoe","Adelie",4275,1.67127317615934e-98
"23","Biscoe","Adelie",3900,1.67127317615934e-98
"24","Biscoe","Adelie",4075,1.67127317615934e-98
"25","Biscoe","Adelie",4050,1.67127317615934e-98
"26","Biscoe","Adelie",2850,1.67127317615934e-98
"27","Biscoe","Adelie",3950,1.67127317615934e-98
"28","Biscoe","Adelie",3350,1.67127317615934e-98
"29","Biscoe","Adelie",4100,1.67127317615934e-98
"30","Biscoe","Adelie",3150,1.67127317615934e-98
"31","Biscoe","Adelie",3950,1.67127317615934e-98
"32","Biscoe","Adelie",3825,1.67127317615934e-98
"33","Biscoe","Adelie",4725,1.67127317615934e-98
"34","Biscoe","Adelie",3075,1.67127317615934e-98
"35","Biscoe","Adelie",3500,1.67127317615934e-98
"36","Biscoe","Adelie",3725,1.67127317615934e-98
"37","Biscoe","Adelie",3550,1.67127317615934e-98
"38","Biscoe","Adelie",3750,1.67127317615934e-98
"39","Biscoe","Adelie",3900,1.67127317615934e-98
"40","Biscoe","Adelie",4300,1.67127317615934e-98
"41","Biscoe","Adelie",4775,1.67127317615934e-98
"42","Biscoe","Adelie",3175,1.67127317615934e-98
"43","Biscoe","Adelie",2925,1.67127317615934e-98
"44","Biscoe","Adelie",4250,1.67127317615934e-98
"45","Dream","Adelie",4600,0.819408792067447
"46","Dream","Adelie",3425,0.819408792067447
"47","Dream","Adelie",4350,0.819408792067447
"48","Dream","Adelie",2900,0.819408792067447
"49","Dream","Adelie",3000,0.819408792067447
"50","Dream","Adelie",3450,0.819408792067447
"51","Dream","Adelie",4150,0.819408792067447
"52","Dream","Adelie",4100,0.819408792067447
"53","Dream","Adelie",2975,0.819408792067447
"54","Dream","Adelie",3400,0.819408792067447
"55","Dream","Adelie",4450,0.819408792067447
"56","Dream","Adelie",3300,0.819408792067447
"57","Dream","Adelie",4300,0.819408792067447
"58","Dream","Adelie",3700,0.819408792067447
"59","Dream","Adelie",3250,0.819408792067447
"60","Dream","Adelie",3900,0.819408792067447
"61","Dream","Adelie",3300,0.819408792067447
"62","Dream","Adelie",3900,0.819408792067447
"63","Dream","Adelie",3325,0.819408792067447
"64","Dream","Adelie",4150,0.819408792067447
"65","Dream","Adelie",3950,0.819408792067447
"66","Dream","Adelie",3550,0.819408792067447
"67","Dream","Adelie",3300,0.819408792067447
"68","Dream","Adelie",4650,0.819408792067447
"69","Dream","Adelie",3150,0.819408792067447
"70","Dream","Adelie",3900,0.819408792067447
"71","Dream","Adelie",3100,0.819408792067447
"72","Dream","Adelie",4400,0.819408792067447
"73","Dream","Adelie",3350,0.819408792067447
"74","Dream","Adelie",3550,0.819408792067447
"75","Dream","Adelie",3800,0.819408792067447
"76","Dream","Adelie",3500,0.819408792067447
"77","Dream","Adelie",3950,0.819408792067447
"78","Dream","Adelie",3600,0.819408792067447
"79","Dream","Adelie",3550,0.819408792067447
"80","Dream","Adelie",4300,0.819408792067447
"81","Dream","Adelie",3500,0.819408792067447
"82","Dream","Adelie",4475,0.819408792067447
"83","Dream","Adelie",3425,0.819408792067447
"84","Dream","Adelie",3900,0.819408792067447
"85","Dream","Adelie",3175,0.819408792067447
"86","Dream","Adelie",3975,0.819408792067447
"87","Dream","Adelie",3400,0.819408792067447
"88","Dream","Adelie",4250,0.819408792067447
"89","Dream","Adelie",3400,0.819408792067447
"90","Dream","Adelie",3475,0.819408792067447
"91","Dream","Adelie",3050,0.819408792067447
"92","Dream","Adelie",3725,0.819408792067447
"93","Dream","Adelie",3000,0.819408792067447
"94","Dream","Adelie",3650,0.819408792067447
"95","Dream","Adelie",4250,0.819408792067447
"96","Dream","Adelie",3475,0.819408792067447
"97","Dream","Adelie",3450,0.819408792067447
"98","Dream","Adelie",3750,0.819408792067447
"99","Dream","Adelie",3700,0.819408792067447
"100","Dream","Adelie",4000,0.819408792067447
"101","Torgersen","Adelie",3750,0.97243961564828
"102","Torgersen","Adelie",3800,0.97243961564828
"103","Torgersen","Adelie",3250,0.97243961564828
"104","Torgersen","Adelie",3450,0.97243961564828
"105","Torgersen","Adelie",3650,0.97243961564828
"106","Torgersen","Adelie",3625,0.97243961564828
"107","Torgersen","Adelie",4675,0.97243961564828
"108","Torgersen","Adelie",3475,0.97243961564828
"109","Torgersen","Adelie",4250,0.97243961564828
"110","Torgersen","Adelie",3300,0.97243961564828
"111","Torgersen","Adelie",3700,0.97243961564828
"112","Torgersen","Adelie",3200,0.97243961564828
"113","Torgersen","Adelie",3800,0.97243961564828
"114","Torgersen","Adelie",4400,0.97243961564828
"115","Torgersen","Adelie",3700,0.97243961564828
"116","Torgersen","Adelie",3450,0.97243961564828
"117","Torgersen","Adelie",4500,0.97243961564828
"118","Torgersen","Adelie",3325,0.97243961564828
"119","Torgersen","Adelie",4200,0.97243961564828
"120","Torgersen","Adelie",4150,0.97243961564828
"121","Torgersen","Adelie",3700,0.97243961564828
"122","Torgersen","Adelie",4250,0.97243961564828
"123","Torgersen","Adelie",3700,0.97243961564828
"124","Torgersen","Adelie",3900,0.97243961564828
"125","Torgersen","Adelie",3550,0.97243961564828
"126","Torgersen","Adelie",4000,0.97243961564828
"127","Torgersen","Adelie",3200,0.97243961564828
"128","Torgersen","Adelie",3050,0.97243961564828
"129","Torgersen","Adelie",4450,0.97243961564828
"130","Torgersen","Adelie",3600,0.97243961564828
"131","Torgersen","Adelie",3900,0.97243961564828
"132","Torgersen","Adelie",3550,0.97243961564828
"133","Torgersen","Adelie",3275,0.97243961564828
"134","Torgersen","Adelie",4300,0.97243961564828
"135","Torgersen","Adelie",3050,0.97243961564828
"136","Torgersen","Adelie",4000,0.97243961564828
"137","Torgersen","Adelie",3325,0.97243961564828
"138","Torgersen","Adelie",3500,0.97243961564828
"139","Torgersen","Adelie",3350,0.97243961564828
"140","Torgersen","Adelie",3325,0.97243961564828
"141","Torgersen","Adelie",4700,0.97243961564828
"142","Torgersen","Adelie",3800,0.97243961564828
"143","Torgersen","Adelie",4200,0.97243961564828
"144","Torgersen","Adelie",3050,0.97243961564828
"145","Torgersen","Adelie",4000,0.97243961564828
"146","Torgersen","Adelie",2900,0.97243961564828
"147","Torgersen","Adelie",3775,0.97243961564828
"148","Torgersen","Adelie",3450,0.97243961564828
"149","Torgersen","Adelie",3875,0.97243961564828
"150","Torgersen","Adelie",3150,0.97243961564828
"151","Torgersen","Adelie",3500,0.97243961564828
